"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Sep 2017","13.680,0","13.340,0","13.900,0","13.320,0","5,70M","2,40%"
"Ago 2017","13.360,0","13.680,0","13.680,0","12.940,0","5,54M","-2,34%"
"Jul 2017","13.680,0","13.320,0","13.740,0","13.000,0","6,45M","2,55%"
"Jun 2017","13.340,0","14.000,0","14.180,0","13.060,0","9,39M","-5,39%"
"May 2017","14.100,0","11.540,0","14.100,0","11.540,0","21,35M","20,93%"
"Abr 2017","11.660,0","11.480,0","11.700,0","11.320,0","8,52M","0,52%"
"Mar 2017","11.600,0","11.200,0","11.740,0","11.040,0","8,36M","3,57%"
"Feb 2017","11.200,0","10.420,0","11.300,0","10.420,0","9,81M","6,06%"
"Ene 2017","10.560,0","10.000,0","10.560,0","9.890,0","7,14M","5,81%"
"Dic 2016","9.980,0","9.900,0","10.340,0","9.800,0","7,05M","0,81%"
"Nov 2016","9.900,0","10.000,0","10.360,0","9.590,0","6,33M","-0,90%"
"Oct 2016","9.990,0","9.640,0","10.040,0","9.520,0","4,22M","2,46%"
