"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Sep 2012","14.750,0","14.100,0","15.300,0","13.900,0","819,65K","4,61%"
"Ago 2012","14.100,0","14.250,0","14.700,0","13.850,0","742,26K","-3,42%"
"Jul 2012","14.600,0","14.100,0","15.050,0","14.100,0","892,63K","3,55%"
"Jun 2012","14.100,0","15.800,0","15.800,0","13.650,0","1,65M","-13,23%"
"May 2012","16.250,0","17.100,0","17.250,0","15.700,0","375,57K","-4,69%"
"Abr 2012","17.050,0","16.900,0","17.700,0","16.400,0","1,55M","-0,87%"
"Mar 2012","17.200,0","17.000,0","18.000,0","16.650,0","1,68M","1,47%"
"Feb 2012","16.950,0","14.700,0","17.150,0","14.300,0","2,49M","16,90%"
"Ene 2012","14.500,0","13.900,0","14.800,0","13.000,0","648,75K","8,21%"
"Dic 2011","13.400,0","13.800,0","14.100,0","11.950,0","1,00M","-2,90%"
"Nov 2011","13.800,0","16.300,0","16.300,0","12.600,0","2,50M","-17,12%"
"Oct 2011","16.650,0","17.000,0","18.600,0","16.250,0","1,49M","-2,06%"
"Sep 2011","17.000,0","18.750,0","19.000,0","17.000,0","328,63K","-10,05%"
"Ago 2011","18.900,0","20.150,0","20.500,0","18.500,0","242,73K","-6,20%"
"Jul 2011","20.150,0","20.650,0","20.750,0","19.250,0","1,16M","-2,18%"
"Jun 2011","20.600,0","21.750,0","22.500,0","20.500,0","1,64M","-6,15%"
"May 2011","21.950,0","20.200,0","21.950,0","19.850,0","1,26M","8,13%"
"Abr 2011","20.300,0","20.300,0","21.650,0","19.450,0","1,50M","-0,73%"
"Mar 2011","20.450,0","21.050,0","21.250,0","19.400,0","1,28M","-2,62%"
"Feb 2011","21.000,0","20.500,0","21.250,0","19.100,0","771,84K","2,44%"
"Ene 2011","20.500,0","21.500,0","22.750,0","20.500,0","1,89M","-4,65%"
