"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 19","40,400.0","37,120.0","42,120.0","36,700.0","11.86M","8.84%"
"Feb 19","37,120.0","34,420.0","37,520.0","34,420.0","14.03M","8.03%"
"Jan 19","34,360.0","31,480.0","34,800.0","31,220.0","13.27M","9.43%"
"Dec 18","31,400.0","32,900.0","33,760.0","29,800.0","7.09M","-2.55%"
"Nov 18","32,220.0","30,600.0","34,000.0","30,100.0","9.22M","7.04%"
"Oct 18","30,100.0","31,220.0","32,420.0","28,760.0","11.03M","-3.83%"
"Sep 18","31,300.0","32,980.0","33,320.0","30,260.0","10.64M","-5.72%"
"Aug 18","33,200.0","33,220.0","34,060.0","32,700.0","13.54M","0.00%"
"Jul 18","33,200.0","35,240.0","36,680.0","33,140.0","7.64M","-7.05%"
"Jun 18","35,720.0","33,500.0","35,720.0","32,740.0","12.35M","6.63%"
"May 18","33,500.0","33,500.0","34,620.0","32,260.0","22.23M","0.60%"
"Apr 18","33,300.0","29,280.0","34,600.0","29,080.0","14.30M","13.73%"
"Mar 18","29,280.0","30,040.0","31,700.0","29,060.0","11.54M","-2.98%"
"Feb 18","30,180.0","32,020.0","33,640.0","30,180.0","16.18M","-7.02%"
"Jan 18","32,460.0","30,000.0","32,900.0","29,480.0","12.26M","8.49%"
"Dec 17","29,920.0","29,180.0","30,140.0","28,580.0","13.59M","2.47%"
"Nov 17","29,200.0","29,000.0","29,700.0","28,020.0","18.82M","0.69%"
"Oct 17","29,000.0","33,920.0","34,200.0","28,540.0","19.95M","-14.15%"
"Sep 17","33,780.0","33,700.0","35,600.0","33,280.0","13.67M","0.54%"
"Aug 17","33,600.0","32,960.0","33,600.0","31,560.0","15.47M","2.75%"
"Jul 17","32,700.0","33,980.0","34,900.0","32,540.0","7.70M","-3.54%"
"Jun 17","33,900.0","32,100.0","35,000.0","31,840.0","9.47M","5.08%"
"May 17","32,260.0","29,200.0","33,040.0","28,960.0","16.96M","12.33%"
"Apr 17","28,720.0","29,000.0","29,500.0","27,920.0","10.24M","0.07%"
"Mar 17","28,700.0","27,580.0","29,180.0","27,100.0","12.59M","5.13%"
"Feb 17","27,300.0","27,560.0","27,900.0","26,800.0","8.08M","-0.94%"
"Jan 17","27,560.0","26,700.0","28,400.0","26,700.0","14.66M","1.40%"
"Dec 16","27,180.0","26,000.0","28,100.0","26,000.0","13.70M","4.54%"
"Nov 16","26,000.0","28,880.0","29,380.0","25,420.0","19.55M","-8.90%"
